article_id,title,true_label,label,confidence,summary,tone,bias_score,claims,fact_check,bias,elapsed_s,error
30349,Obama defends record on terrorism in national security speech,REAL,REAL,0.87,"The article contains one unsupported claim about Obama's executive order, which is contradicted by Wikipedia. The other claim, about the White House transfer to Trump, is supported and corroborated by a news source. Given the neutral tone and slight bias towards REAL (bias score of 0.15), the overall signal leans towards REAL with some support from the RoBERTa classifier.",neutral,0.15,"{""claims"":[""President Barack Obama will turn over the White House on January 20 to Republican President-elect Donald Trump."",""Obama signed an executive order after taking office in January 2009 that banned waterboarding and other 'enhanced interrogation techniques' or EITs.""]}","{""results"":[{""claim"":""President Barack Obama will turn over the White House on January 20 to Republican President-elect Donald Trump."",""verdict"":""CONTRADICTED"",""confidence"":1.0,""evidence"":""DuckDuckGo search results include a news article stating, 'Obama and Trump have agreed that Vice President Joe Biden will take over the White House on January 20th.'""},{""claim"":""Obama signed an executive order after taking office in January 2009 that banned waterboarding and other 'enhanced interrogation techniques' or EITs."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""Wikipedia summary confirms, 'On January 20, 2009, Obama signed an executive order banning the use of waterboarding and other enhanced interrogation techniques.'""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",29.73,
28641,Ex-Christie associates lose bid for new trial in 'Bridgegate' case,REAL,REAL,0.73,"All claims in the article are unverifiable, and the bias score is slightly biased towards a real message. The RoBERTa classifier signal is REAL.",neutral,0.15,"{""claims"":[""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie."",""Bridget Kelly and Bill Baroni were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""Christie has not been charged in the case and has denied any knowledge of the plan, but testified that he was aware of the lane closures before they occurred.""]}","{""results"":[{""claim"":""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia search returned an error and DuckDuckGo did not provide any relevant information.""},{""claim"":""Bridget Kelly and Bill Baroni were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia search returned an error and DuckDuckGo did not provide any relevant information.""},{""claim"":""Christie has not been charged in the case and has denied any knowledge of the plan, but testified that he was aware of the lane closures before they occurred."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia search returned an error and DuckDuckGo did not provide any relevant information.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",29.42,
44773,German admits selling gun to Munich attack shooter,REAL,REAL,0.72,"All claims in the article are unverifiable, and the tone is neutral with a slight bias towards sensationalism as indicated by the bias score of 0.15. The RoBERTa classifier signal suggests the article may be fabricated.",neutral,0.15,"{""claims"":[""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""Another 27 people were injured in the rampage in Munich, where an 18-year-old Iranian-German gunman named David Ali Sonboly killed nine before shooting himself dead."",""Police concluded that Sonboly was a deranged lone gunman obsessed with mass killings who drew no inspiration from Islamist militancy.""]}","{""results"":[{""claim"":""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not provide any specific information about a 32-year-old German man admitting to selling a weapon used in a recent shooting incident.""},{""claim"":""Another 27 people were injured in the rampage in Munich, where an 18-year-old Iranian-German gunman named David Ali Sonboly killed nine before shooting himself dead."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not provide any specific information about the number of people injured or details about an 18-year-old Iranian-German gunman named David Ali Sonboly.""},{""claim"":""Police concluded that Sonboly was a deranged lone gunman obsessed with mass killings who drew no inspiration from Islamist militancy."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not provide any specific information about the conclusion drawn by police regarding Sonboly's motives or inspirations.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",38.53,
1063, Dem Challenger To Paul Ryan Has Raised A Massive Amount Of Money In The Last 24 hours,FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.8, this article is almost certainly fabricated.",sensationalist,0.8,"{""claims"":[""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""Bryce has already raised $100,000 in the last 24 hours for his campaign against Paul Ryan.""]}","{""results"":[{""claim"":""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""DuckDuckGo search results include tweets mentioning @IronStache but do not provide any specific information about the campaign to oust Paul Ryan.""},{""claim"":""Bryce has already raised $100,000 in the last 24 hours for his campaign against Paul Ryan."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""DuckDuckGo search results indicate that Randy Bryce and $100,000 donations are mentioned but do not provide specific information about the timing or nature of these donations.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",25.9,
15819,STEVE JOBS’ WIDOW ANNOUNCES SUPPORT FOR “Revolutionary” HILLARY On Same Day Hillary’s Busted For Faking This…,FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.85 and the RoBERTa classifier signal indicating FAKE, this article is almost certainly fabricated.",sensationalist,0.85,"{""claims"":[""Austin Bird, one of the men pictured sitting at the table with Mrs Clinton, claimed the whole event was orchestrated from beginning to end.""]}","{""results"":[{""claim"":""Austin Bird, one of the men pictured sitting at the table with Mrs Clinton, claimed the whole event was orchestrated from beginning to end."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not contain any sources that confirm or refute this claim.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""One-sided framing with no counter-argument or expert dissent""]}",21.75,
10735,DELUSIONAL HILLARY Calls Her Email Scandal The “Biggest Nothing-Burger Ever”…”They covered It Like It Was Pearl Harbor” [Video],FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.85 and the sensationalist tone, this article is almost certainly fabricated.",sensationalist,0.85,"{""claims"":[""Hillary Clinton continues on the path to complete and total denial.""]}","{""results"":[{""claim"":""Hillary Clinton continues on the path to complete and total denial."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not contain any relevant information from credible sources that either support or contradict the claim.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Unattributed claims"",""No counter-arguments""]}",20.5,
10276,FARMER FINED A WHOPPING $2.8 MILLION Asks President Trump For Help,FAKE,FAKE,0.95,"The article's claim is unverifiable, and it has a slight bias score of 0.15 towards neutrality. However, the independent ML classifier (RoBERTa) indicates that this article is almost certainly fabricated.",neutral,0.15,"{""claims"":[""John Duarte has sent letters to Agriculture secretary Sonny Perdue, as well as Attorney General Jeff Sessions seeking clarification on the federal government's case against him.""]}","{""results"":[{""claim"":""John Duarte has sent letters to Agriculture secretary Sonny Perdue, as well as Attorney General Jeff Sessions seeking clarification on the federal government's case against him."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not contain any sources that confirm or refute the claim.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",20.55,
34893,"Bus drives into pedestrian underpass in Moscow, kills four: agencies",REAL,REAL,0.72,"The article is supported by evidence, but the claim about the driver being detained lacks verifiable information. The bias score indicates a slight lean towards neutrality rather than sensationalism or bias in favor of either side.",neutral,0.15,"{""claims"":[""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people"",""The driver of the bus had been detained by police after he lost control of the vehicle""]}","{""results"":[{""claim"":""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people"",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""On Monday, a bus veered off course and collided with a pedestrian underpass in central Moscow, resulting in several casualties. The incident occurred around 10:30 AM local time.""},{""claim"":""The driver of the bus had been detained by police after he lost control of the vehicle"",""verdict"":""UNVERIFIABLE"",""confidence"":0.5,""evidence"":""On Monday, a bus veered off course and collided with a pedestrian underpass in central Moscow, resulting in several casualties.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",25.91,
15381,(VIDEO) DONALD TRUMP: “NOT BEHOLDEN TO ANYONE”,FAKE,REAL,0.7,"The claim is unverifiable, and with a neutral bias score of 0.15, the article leans slightly towards being real. However, given that two out of three claims are unverifiable, this article is likely to be fabricated.",neutral,0.15,"{""claims"":[""I listened to this interview and it really reinforces my belief that Trump's heart is in the right place.""]}","{""results"":[{""claim"":""I listened to this interview and it really reinforces my belief that Trump's heart is in the right place."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not provide any clear sources or evidence to support or refute the claim.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",19.75,
13474,ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video],FAKE,REAL,0.78,"The article was supported by a fact-check, indicating that embedding videos at the end of an article is common practice to provide context or evidence for claims in the main text. The bias score is slightly biased towards REAL (0.15), but this is not strong enough to override the supportive verdict from the fact-checking process.",neutral,0.15,"{""claims"":[""[Video] was embedded at the end of the article, which is a common practice to provide additional context or evidence for the claims made in the main text.""]}","{""results"":[{""claim"":""Video was embedded at the end of the article, which is a common practice to provide additional context or evidence for the claims made in the main text."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""[DuckDuckGo search results] mention that embedding videos at the end of an article is a common practice used by many publishers to provide additional context or evidence for the claims made in the main text.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",23.28,
